,index,time,count,year,month,day,hour,weekday,holiday,count_pred
0,25000,2015-10-29 07:00:00,1753,2015,10,29,7,3,0,1643
1,25001,2015-10-29 08:00:00,2352,2015,10,29,8,3,0,2257
2,25002,2015-10-29 09:00:00,2570,2015,10,29,9,3,0,2453
3,25003,2015-10-29 10:00:00,2637,2015,10,29,10,3,0,2505
4,25004,2015-10-29 11:00:00,2639,2015,10,29,11,3,0,2508
5,25005,2015-10-29 12:00:00,2576,2015,10,29,12,3,0,2458
6,25006,2015-10-29 13:00:00,2591,2015,10,29,13,3,0,2463
7,25007,2015-10-29 14:00:00,2544,2015,10,29,14,3,0,2420
8,25008,2015-10-29 15:00:00,2456,2015,10,29,15,3,0,2321
9,25009,2015-10-29 16:00:00,2183,2015,10,29,16,3,0,2046
10,25010,2015-10-29 17:00:00,1508,2015,10,29,17,3,0,1356
11,25011,2015-10-29 18:00:00,740,2015,10,29,18,3,0,667
12,25012,2015-10-29 19:00:00,316,2015,10,29,19,3,0,291
13,25013,2015-10-29 20:00:00,158,2015,10,29,20,3,0,162
14,25014,2015-10-29 21:00:00,126,2015,10,29,21,3,0,120
15,25015,2015-10-29 22:00:00,101,2015,10,29,22,3,0,92
16,25016,2015-10-29 23:00:00,72,2015,10,29,23,3,0,68
17,25017,2015-10-30 00:00:00,53,2015,10,30,0,4,0,57
18,25018,2015-10-30 01:00:00,50,2015,10,30,1,4,0,51
19,25019,2015-10-30 02:00:00,44,2015,10,30,2,4,0,47
20,25020,2015-10-30 03:00:00,43,2015,10,30,3,4,0,46
21,25021,2015-10-30 04:00:00,54,2015,10,30,4,4,0,62
22,25022,2015-10-30 05:00:00,156,2015,10,30,5,4,0,151
23,25023,2015-10-30 06:00:00,502,2015,10,30,6,4,0,493
24,25024,2015-10-30 07:00:00,1032,2015,10,30,7,4,0,1024
25,25025,2015-10-30 08:00:00,1545,2015,10,30,8,4,0,1517
26,25026,2015-10-30 09:00:00,1745,2015,10,30,9,4,0,1691
27,25027,2015-10-30 10:00:00,1786,2015,10,30,10,4,0,1729
28,25028,2015-10-30 11:00:00,1786,2015,10,30,11,4,0,1712
29,25029,2015-10-30 12:00:00,1643,2015,10,30,12,4,0,1589
30,25030,2015-10-30 13:00:00,1555,2015,10,30,13,4,0,1500
31,25031,2015-10-30 14:00:00,1442,2015,10,30,14,4,0,1393
32,25032,2015-10-30 15:00:00,1244,2015,10,30,15,4,0,1214
33,25033,2015-10-30 16:00:00,930,2015,10,30,16,4,0,903
34,25034,2015-10-30 17:00:00,569,2015,10,30,17,4,0,537
35,25035,2015-10-30 18:00:00,270,2015,10,30,18,4,0,254
36,25036,2015-10-30 19:00:00,131,2015,10,30,19,4,0,140
37,25037,2015-10-30 20:00:00,87,2015,10,30,20,4,0,101
38,25038,2015-10-30 21:00:00,76,2015,10,30,21,4,0,84
39,25039,2015-10-30 22:00:00,62,2015,10,30,22,4,0,68
40,25040,2015-10-30 23:00:00,45,2015,10,30,23,4,0,54
41,25041,2015-10-31 00:00:00,37,2015,10,31,0,5,0,44
42,25042,2015-10-31 01:00:00,33,2015,10,31,1,5,0,43
43,25043,2015-10-31 02:00:00,30,2015,10,31,2,5,0,43
44,25044,2015-10-31 03:00:00,28,2015,10,31,3,5,0,43
45,25045,2015-10-31 04:00:00,28,2015,10,31,4,5,0,43
46,25046,2015-10-31 05:00:00,28,2015,10,31,5,5,0,44
47,25047,2015-10-31 06:00:00,28,2015,10,31,6,5,0,49
48,25048,2015-10-31 07:00:00,31,2015,10,31,7,5,0,56
49,25049,2015-10-31 08:00:00,40,2015,10,31,8,5,0,68
50,25050,2015-10-31 09:00:00,43,2015,10,31,9,5,0,81
51,25051,2015-10-31 10:00:00,51,2015,10,31,10,5,0,92
52,25052,2015-10-31 11:00:00,51,2015,10,31,11,5,0,92
53,25053,2015-10-31 12:00:00,54,2015,10,31,12,5,0,93
54,25054,2015-10-31 13:00:00,58,2015,10,31,13,5,0,91
55,25055,2015-10-31 14:00:00,58,2015,10,31,14,5,0,87
56,25056,2015-10-31 15:00:00,55,2015,10,31,15,5,0,80
57,25057,2015-10-31 16:00:00,53,2015,10,31,16,5,0,73
58,25058,2015-10-31 17:00:00,47,2015,10,31,17,5,0,66
59,25059,2015-10-31 18:00:00,36,2015,10,31,18,5,0,59
60,25060,2015-10-31 19:00:00,37,2015,10,31,19,5,0,56
61,25061,2015-10-31 20:00:00,34,2015,10,31,20,5,0,52
62,25062,2015-10-31 21:00:00,34,2015,10,31,21,5,0,49
63,25063,2015-10-31 22:00:00,33,2015,10,31,22,5,0,47
64,25064,2015-10-31 23:00:00,33,2015,10,31,23,5,0,45
65,25065,2015-11-01 00:00:00,32,2015,11,1,0,6,0,43
66,25066,2015-11-01 01:00:00,28,2015,11,1,1,6,0,41
67,25067,2015-11-01 02:00:00,27,2015,11,1,2,6,0,40
68,25068,2015-11-01 03:00:00,30,2015,11,1,3,6,0,40
69,25069,2015-11-01 04:00:00,32,2015,11,1,4,6,0,40
70,25070,2015-11-01 05:00:00,32,2015,11,1,5,6,0,42
71,25071,2015-11-01 06:00:00,33,2015,11,1,6,6,0,47
72,25072,2015-11-01 07:00:00,36,2015,11,1,7,6,0,50
73,25073,2015-11-01 08:00:00,54,2015,11,1,8,6,0,61
74,25074,2015-11-01 09:00:00,85,2015,11,1,9,6,0,82
75,25075,2015-11-01 10:00:00,106,2015,11,1,10,6,0,106
76,25076,2015-11-01 11:00:00,110,2015,11,1,11,6,0,114
77,25077,2015-11-01 12:00:00,112,2015,11,1,12,6,0,120
78,25078,2015-11-01 13:00:00,112,2015,11,1,13,6,0,102
79,25079,2015-11-01 14:00:00,77,2015,11,1,14,6,0,85
80,25080,2015-11-01 15:00:00,70,2015,11,1,15,6,0,80
81,25081,2015-11-01 16:00:00,68,2015,11,1,16,6,0,75
82,25082,2015-11-01 17:00:00,62,2015,11,1,17,6,0,70
83,25083,2015-11-01 18:00:00,61,2015,11,1,18,6,0,63
84,25084,2015-11-01 19:00:00,54,2015,11,1,19,6,0,59
85,25085,2015-11-01 20:00:00,45,2015,11,1,20,6,0,53
86,25086,2015-11-01 21:00:00,40,2015,11,1,21,6,0,50
87,25087,2015-11-01 22:00:00,40,2015,11,1,22,6,0,48
88,25088,2015-11-01 23:00:00,36,2015,11,1,23,6,0,43
89,25089,2015-11-02 00:00:00,34,2015,11,2,0,0,0,42
90,25090,2015-11-02 01:00:00,28,2015,11,2,1,0,0,40
91,25091,2015-11-02 02:00:00,28,2015,11,2,2,0,0,38
92,25092,2015-11-02 03:00:00,32,2015,11,2,3,0,0,39
93,25093,2015-11-02 04:00:00,68,2015,11,2,4,0,0,67
94,25094,2015-11-02 05:00:00,274,2015,11,2,5,0,0,245
95,25095,2015-11-02 06:00:00,974,2015,11,2,6,0,0,856
96,25096,2015-11-02 07:00:00,1817,2015,11,2,7,0,0,1652
97,25097,2015-11-02 08:00:00,2422,2015,11,2,8,0,0,2244
98,25098,2015-11-02 09:00:00,2574,2015,11,2,9,0,0,2418
99,25099,2015-11-02 10:00:00,2607,2015,11,2,10,0,0,2460
100,25100,2015-11-02 11:00:00,2608,2015,11,2,11,0,0,2477
101,25101,2015-11-02 12:00:00,2588,2015,11,2,12,0,0,2449
102,25102,2015-11-02 13:00:00,2587,2015,11,2,13,0,0,2451
103,25103,2015-11-02 14:00:00,2569,2015,11,2,14,0,0,2424
104,25104,2015-11-02 15:00:00,2515,2015,11,2,15,0,0,2346
105,25105,2015-11-02 16:00:00,2256,2015,11,2,16,0,0,2104
106,25106,2015-11-02 17:00:00,1518,2015,11,2,17,0,0,1405
107,25107,2015-11-02 18:00:00,715,2015,11,2,18,0,0,691
108,25108,2015-11-02 19:00:00,289,2015,11,2,19,0,0,285
109,25109,2015-11-02 20:00:00,159,2015,11,2,20,0,0,149
110,25110,2015-11-02 21:00:00,120,2015,11,2,21,0,0,109
111,25111,2015-11-02 22:00:00,88,2015,11,2,22,0,0,85
112,25112,2015-11-02 23:00:00,56,2015,11,2,23,0,0,67
113,25113,2015-11-03 00:00:00,43,2015,11,3,0,1,0,52
114,25114,2015-11-03 01:00:00,39,2015,11,3,1,1,0,46
115,25115,2015-11-03 02:00:00,35,2015,11,3,2,1,0,43
116,25116,2015-11-03 03:00:00,35,2015,11,3,3,1,0,43
117,25117,2015-11-03 04:00:00,75,2015,11,3,4,1,0,74
118,25118,2015-11-03 05:00:00,265,2015,11,3,5,1,0,251
119,25119,2015-11-03 06:00:00,970,2015,11,3,6,1,0,872
120,25120,2015-11-03 07:00:00,1862,2015,11,3,7,1,0,1672
121,25121,2015-11-03 08:00:00,2467,2015,11,3,8,1,0,2275
122,25122,2015-11-03 09:00:00,2658,2015,11,3,9,1,0,2462
123,25123,2015-11-03 10:00:00,2703,2015,11,3,10,1,0,2509
124,25124,2015-11-03 11:00:00,2691,2015,11,3,11,1,0,2513
125,25125,2015-11-03 12:00:00,2628,2015,11,3,12,1,0,2470
