,count_pred,datetime,day,holiday,hour,month,weekday,year
0,700,2016-02-01 00:00:00,1,0,0,2,0,2016
1,698,2016-02-01 01:00:00,1,0,1,2,0,2016
2,696,2016-02-01 02:00:00,1,0,2,2,0,2016
3,696,2016-02-01 03:00:00,1,0,3,2,0,2016
4,709,2016-02-01 04:00:00,1,0,4,2,0,2016
5,785,2016-02-01 05:00:00,1,0,5,2,0,2016
6,1051,2016-02-01 06:00:00,1,0,6,2,0,2016
7,1410,2016-02-01 07:00:00,1,0,7,2,0,2016
8,1694,2016-02-01 08:00:00,1,0,8,2,0,2016
9,1791,2016-02-01 09:00:00,1,0,9,2,0,2016
10,1818,2016-02-01 10:00:00,1,0,10,2,0,2016
11,1818,2016-02-01 11:00:00,1,0,11,2,0,2016
12,1789,2016-02-01 12:00:00,1,0,12,2,0,2016
13,1782,2016-02-01 13:00:00,1,0,13,2,0,2016
14,1753,2016-02-01 14:00:00,1,0,14,2,0,2016
15,1697,2016-02-01 15:00:00,1,0,15,2,0,2016
16,1565,2016-02-01 16:00:00,1,0,16,2,0,2016
17,1266,2016-02-01 17:00:00,1,0,17,2,0,2016
18,971,2016-02-01 18:00:00,1,0,18,2,0,2016
19,810,2016-02-01 19:00:00,1,0,19,2,0,2016
20,754,2016-02-01 20:00:00,1,0,20,2,0,2016
21,734,2016-02-01 21:00:00,1,0,21,2,0,2016
22,720,2016-02-01 22:00:00,1,0,22,2,0,2016
23,708,2016-02-01 23:00:00,1,0,23,2,0,2016
24,713,2016-02-02 00:00:00,2,0,0,2,1,2016
25,711,2016-02-02 01:00:00,2,0,1,2,1,2016
26,710,2016-02-02 02:00:00,2,0,2,2,1,2016
27,709,2016-02-02 03:00:00,2,0,3,2,1,2016
28,723,2016-02-02 04:00:00,2,0,4,2,1,2016
29,798,2016-02-02 05:00:00,2,0,5,2,1,2016
30,1064,2016-02-02 06:00:00,2,0,6,2,1,2016
31,1423,2016-02-02 07:00:00,2,0,7,2,1,2016
32,1708,2016-02-02 08:00:00,2,0,8,2,1,2016
33,1804,2016-02-02 09:00:00,2,0,9,2,1,2016
34,1832,2016-02-02 10:00:00,2,0,10,2,1,2016
35,1831,2016-02-02 11:00:00,2,0,11,2,1,2016
36,1803,2016-02-02 12:00:00,2,0,12,2,1,2016
37,1796,2016-02-02 13:00:00,2,0,13,2,1,2016
38,1767,2016-02-02 14:00:00,2,0,14,2,1,2016
39,1711,2016-02-02 15:00:00,2,0,15,2,1,2016
40,1579,2016-02-02 16:00:00,2,0,16,2,1,2016
41,1279,2016-02-02 17:00:00,2,0,17,2,1,2016
42,984,2016-02-02 18:00:00,2,0,18,2,1,2016
43,823,2016-02-02 19:00:00,2,0,19,2,1,2016
44,767,2016-02-02 20:00:00,2,0,20,2,1,2016
45,748,2016-02-02 21:00:00,2,0,21,2,1,2016
46,733,2016-02-02 22:00:00,2,0,22,2,1,2016
47,722,2016-02-02 23:00:00,2,0,23,2,1,2016
48,717,2016-02-03 00:00:00,3,0,0,2,2,2016
49,714,2016-02-03 01:00:00,3,0,1,2,2,2016
50,713,2016-02-03 02:00:00,3,0,2,2,2,2016
51,713,2016-02-03 03:00:00,3,0,3,2,2,2016
52,726,2016-02-03 04:00:00,3,0,4,2,2,2016
53,801,2016-02-03 05:00:00,3,0,5,2,2,2016
54,1068,2016-02-03 06:00:00,3,0,6,2,2,2016
55,1427,2016-02-03 07:00:00,3,0,7,2,2,2016
56,1711,2016-02-03 08:00:00,3,0,8,2,2,2016
57,1808,2016-02-03 09:00:00,3,0,9,2,2,2016
58,1835,2016-02-03 10:00:00,3,0,10,2,2,2016
59,1835,2016-02-03 11:00:00,3,0,11,2,2,2016
60,1806,2016-02-03 12:00:00,3,0,12,2,2,2016
61,1799,2016-02-03 13:00:00,3,0,13,2,2,2016
62,1770,2016-02-03 14:00:00,3,0,14,2,2,2016
63,1714,2016-02-03 15:00:00,3,0,15,2,2,2016
64,1582,2016-02-03 16:00:00,3,0,16,2,2,2016
65,1282,2016-02-03 17:00:00,3,0,17,2,2,2016
66,987,2016-02-03 18:00:00,3,0,18,2,2,2016
67,827,2016-02-03 19:00:00,3,0,19,2,2,2016
68,770,2016-02-03 20:00:00,3,0,20,2,2,2016
69,751,2016-02-03 21:00:00,3,0,21,2,2,2016
70,737,2016-02-03 22:00:00,3,0,22,2,2,2016
71,725,2016-02-03 23:00:00,3,0,23,2,2,2016
72,690,2016-02-04 00:00:00,4,0,0,2,3,2016
73,688,2016-02-04 01:00:00,4,0,1,2,3,2016
74,687,2016-02-04 02:00:00,4,0,2,2,3,2016
75,686,2016-02-04 03:00:00,4,0,3,2,3,2016
76,700,2016-02-04 04:00:00,4,0,4,2,3,2016
77,775,2016-02-04 05:00:00,4,0,5,2,3,2016
78,1041,2016-02-04 06:00:00,4,0,6,2,3,2016
79,1400,2016-02-04 07:00:00,4,0,7,2,3,2016
80,1685,2016-02-04 08:00:00,4,0,8,2,3,2016
81,1781,2016-02-04 09:00:00,4,0,9,2,3,2016
82,1809,2016-02-04 10:00:00,4,0,10,2,3,2016
83,1808,2016-02-04 11:00:00,4,0,11,2,3,2016
84,1780,2016-02-04 12:00:00,4,0,12,2,3,2016
85,1773,2016-02-04 13:00:00,4,0,13,2,3,2016
86,1744,2016-02-04 14:00:00,4,0,14,2,3,2016
87,1688,2016-02-04 15:00:00,4,0,15,2,3,2016
88,1556,2016-02-04 16:00:00,4,0,16,2,3,2016
89,1256,2016-02-04 17:00:00,4,0,17,2,3,2016
90,961,2016-02-04 18:00:00,4,0,18,2,3,2016
91,800,2016-02-04 19:00:00,4,0,19,2,3,2016
92,744,2016-02-04 20:00:00,4,0,20,2,3,2016
93,725,2016-02-04 21:00:00,4,0,21,2,3,2016
94,710,2016-02-04 22:00:00,4,0,22,2,3,2016
95,699,2016-02-04 23:00:00,4,0,23,2,3,2016
96,384,2016-02-05 00:00:00,5,0,0,2,4,2016
97,382,2016-02-05 01:00:00,5,0,1,2,4,2016
98,380,2016-02-05 02:00:00,5,0,2,2,4,2016
99,380,2016-02-05 03:00:00,5,0,3,2,4,2016
100,393,2016-02-05 04:00:00,5,0,4,2,4,2016
101,469,2016-02-05 05:00:00,5,0,5,2,4,2016
102,735,2016-02-05 06:00:00,5,0,6,2,4,2016
103,1094,2016-02-05 07:00:00,5,0,7,2,4,2016
104,1378,2016-02-05 08:00:00,5,0,8,2,4,2016
105,1475,2016-02-05 09:00:00,5,0,9,2,4,2016
106,1502,2016-02-05 10:00:00,5,0,10,2,4,2016
107,1502,2016-02-05 11:00:00,5,0,11,2,4,2016
108,1473,2016-02-05 12:00:00,5,0,12,2,4,2016
109,1466,2016-02-05 13:00:00,5,0,13,2,4,2016
110,1437,2016-02-05 14:00:00,5,0,14,2,4,2016
111,1381,2016-02-05 15:00:00,5,0,15,2,4,2016
112,1249,2016-02-05 16:00:00,5,0,16,2,4,2016
113,949,2016-02-05 17:00:00,5,0,17,2,4,2016
114,654,2016-02-05 18:00:00,5,0,18,2,4,2016
115,494,2016-02-05 19:00:00,5,0,19,2,4,2016
116,437,2016-02-05 20:00:00,5,0,20,2,4,2016
117,418,2016-02-05 21:00:00,5,0,21,2,4,2016
118,404,2016-02-05 22:00:00,5,0,22,2,4,2016
119,392,2016-02-05 23:00:00,5,0,23,2,4,2016
120,35,2016-02-06 00:00:00,6,0,0,2,5,2016
121,35,2016-02-06 01:00:00,6,0,1,2,5,2016
122,35,2016-02-06 02:00:00,6,0,2,2,5,2016
123,35,2016-02-06 03:00:00,6,0,3,2,5,2016
124,35,2016-02-06 04:00:00,6,0,4,2,5,2016
125,52,2016-02-06 05:00:00,6,0,5,2,5,2016
126,318,2016-02-06 06:00:00,6,0,6,2,5,2016
127,677,2016-02-06 07:00:00,6,0,7,2,5,2016
128,961,2016-02-06 08:00:00,6,0,8,2,5,2016
129,1058,2016-02-06 09:00:00,6,0,9,2,5,2016
130,1085,2016-02-06 10:00:00,6,0,10,2,5,2016
131,1085,2016-02-06 11:00:00,6,0,11,2,5,2016
132,1057,2016-02-06 12:00:00,6,0,12,2,5,2016
133,1049,2016-02-06 13:00:00,6,0,13,2,5,2016
134,1020,2016-02-06 14:00:00,6,0,14,2,5,2016
135,964,2016-02-06 15:00:00,6,0,15,2,5,2016
136,832,2016-02-06 16:00:00,6,0,16,2,5,2016
137,533,2016-02-06 17:00:00,6,0,17,2,5,2016
138,238,2016-02-06 18:00:00,6,0,18,2,5,2016
139,77,2016-02-06 19:00:00,6,0,19,2,5,2016
140,21,2016-02-06 20:00:00,6,0,20,2,5,2016
141,35,2016-02-06 21:00:00,6,0,21,2,5,2016
142,35,2016-02-06 22:00:00,6,0,22,2,5,2016
143,35,2016-02-06 23:00:00,6,0,23,2,5,2016
144,35,2016-02-07 00:00:00,7,0,0,2,6,2016
145,35,2016-02-07 01:00:00,7,0,1,2,6,2016
146,35,2016-02-07 02:00:00,7,0,2,2,6,2016
147,35,2016-02-07 03:00:00,7,0,3,2,6,2016
148,35,2016-02-07 04:00:00,7,0,4,2,6,2016
149,51,2016-02-07 05:00:00,7,0,5,2,6,2016
150,317,2016-02-07 06:00:00,7,0,6,2,6,2016
