,time,year,month,day,hour,weekday,holiday,count_pred
0,2016-02-01 00:00:00,2016,2,1,0,0,0,41
1,2016-02-01 01:00:00,2016,2,1,1,0,0,39
2,2016-02-01 02:00:00,2016,2,1,2,0,0,39
3,2016-02-01 03:00:00,2016,2,1,3,0,0,38
4,2016-02-01 04:00:00,2016,2,1,4,0,0,67
5,2016-02-01 05:00:00,2016,2,1,5,0,0,245
6,2016-02-01 06:00:00,2016,2,1,6,0,0,855
7,2016-02-01 07:00:00,2016,2,1,7,0,0,1652
8,2016-02-01 08:00:00,2016,2,1,8,0,0,2244
9,2016-02-01 09:00:00,2016,2,1,9,0,0,2417
10,2016-02-01 10:00:00,2016,2,1,10,0,0,2460
11,2016-02-01 11:00:00,2016,2,1,11,0,0,2476
12,2016-02-01 12:00:00,2016,2,1,12,0,0,2448
13,2016-02-01 13:00:00,2016,2,1,13,0,0,2454
14,2016-02-01 14:00:00,2016,2,1,14,0,0,2423
15,2016-02-01 15:00:00,2016,2,1,15,0,0,2347
16,2016-02-01 16:00:00,2016,2,1,16,0,0,2101
17,2016-02-01 17:00:00,2016,2,1,17,0,0,1404
18,2016-02-01 18:00:00,2016,2,1,18,0,0,692
19,2016-02-01 19:00:00,2016,2,1,19,0,0,287
20,2016-02-01 20:00:00,2016,2,1,20,0,0,151
21,2016-02-01 21:00:00,2016,2,1,21,0,0,109
22,2016-02-01 22:00:00,2016,2,1,22,0,0,87
23,2016-02-01 23:00:00,2016,2,1,23,0,0,65
24,2016-02-02 00:00:00,2016,2,2,0,1,0,52
25,2016-02-02 01:00:00,2016,2,2,1,1,0,49
26,2016-02-02 02:00:00,2016,2,2,2,1,0,44
27,2016-02-02 03:00:00,2016,2,2,3,1,0,43
28,2016-02-02 04:00:00,2016,2,2,4,1,0,74
29,2016-02-02 05:00:00,2016,2,2,5,1,0,253
30,2016-02-02 06:00:00,2016,2,2,6,1,0,871
31,2016-02-02 07:00:00,2016,2,2,7,1,0,1669
32,2016-02-02 08:00:00,2016,2,2,8,1,0,2275
33,2016-02-02 09:00:00,2016,2,2,9,1,0,2464
34,2016-02-02 10:00:00,2016,2,2,10,1,0,2509
35,2016-02-02 11:00:00,2016,2,2,11,1,0,2515
36,2016-02-02 12:00:00,2016,2,2,12,1,0,2469
37,2016-02-02 13:00:00,2016,2,2,13,1,0,2485
38,2016-02-02 14:00:00,2016,2,2,14,1,0,2447
39,2016-02-02 15:00:00,2016,2,2,15,1,0,2359
40,2016-02-02 16:00:00,2016,2,2,16,1,0,2103
41,2016-02-02 17:00:00,2016,2,2,17,1,0,1409
42,2016-02-02 18:00:00,2016,2,2,18,1,0,707
43,2016-02-02 19:00:00,2016,2,2,19,1,0,302
44,2016-02-02 20:00:00,2016,2,2,20,1,0,163
45,2016-02-02 21:00:00,2016,2,2,21,1,0,118
46,2016-02-02 22:00:00,2016,2,2,22,1,0,91
47,2016-02-02 23:00:00,2016,2,2,23,1,0,69
48,2016-02-03 00:00:00,2016,2,3,0,2,0,55
49,2016-02-03 01:00:00,2016,2,3,1,2,0,51
50,2016-02-03 02:00:00,2016,2,3,2,2,0,48
51,2016-02-03 03:00:00,2016,2,3,3,2,0,46
52,2016-02-03 04:00:00,2016,2,3,4,2,0,75
53,2016-02-03 05:00:00,2016,2,3,5,2,0,252
54,2016-02-03 06:00:00,2016,2,3,6,2,0,868
55,2016-02-03 07:00:00,2016,2,3,7,2,0,1667
56,2016-02-03 08:00:00,2016,2,3,8,2,0,2286
57,2016-02-03 09:00:00,2016,2,3,9,2,0,2481
58,2016-02-03 10:00:00,2016,2,3,10,2,0,2529
59,2016-02-03 11:00:00,2016,2,3,11,2,0,2532
60,2016-02-03 12:00:00,2016,2,3,12,2,0,2485
61,2016-02-03 13:00:00,2016,2,3,13,2,0,2496
62,2016-02-03 14:00:00,2016,2,3,14,2,0,2453
63,2016-02-03 15:00:00,2016,2,3,15,2,0,2358
64,2016-02-03 16:00:00,2016,2,3,16,2,0,2102
65,2016-02-03 17:00:00,2016,2,3,17,2,0,1411
66,2016-02-03 18:00:00,2016,2,3,18,2,0,711
67,2016-02-03 19:00:00,2016,2,3,19,2,0,313
68,2016-02-03 20:00:00,2016,2,3,20,2,0,176
69,2016-02-03 21:00:00,2016,2,3,21,2,0,126
